Gene,Category,Cohort,g_II_III,g_III_IV,Delta_g,CI_lo,CI_hi,p_boot,BH_p
DMD,Loss,CGGA,-0.23144580299045941,0.18074348260402076,0.4121892855944802,0.09850601206992349,0.7404933951913191,0.008,0.020363636363636365
CLDN5,Loss,TCGA,0.180694594585663,-0.17880543308516555,-0.35950002767082856,-0.5861301449358629,-0.1168939367970823,0.006,0.008400000000000001
CLDN5,Loss,CGGA,0.24332095034441095,-0.3300770341701793,-0.5733979845145902,-0.9136963901932705,-0.25850710338880895,0.0,0.0
OCLN,Loss,TCGA,0.049614848500496196,0.3270872769677603,0.2774724284672641,0.0528461441107224,0.49661815759633804,0.012,0.016390243902439025
OCLN,Loss,CGGA,-0.08621377242191945,-0.287659001325258,-0.20144522890333855,-0.5256146620926484,0.12390191258292378,0.252,0.37333333333333335
TJP1,Loss,TCGA,-0.34380528458701565,-0.590113874648137,-0.24630859006112138,-0.49220947168043816,-0.0030035463787678744,0.048,0.056
TJP1,Loss,CGGA,-0.2192098752046016,-0.2331252844590623,-0.013915409254460692,-0.3355562070781655,0.346912831225459,0.98,0.9978181818181817
VIM,Gain,TCGA,0.44576514917788473,1.193932539693057,0.7481673905151722,0.4931464308308864,1.024999923318771,0.0,0.0
VIM,Gain,CGGA,0.16591702341454784,0.8502009970246475,0.6842839736100996,0.3466281090637975,1.07666248352483,0.0,0.0
SERPINA3,Gain,TCGA,0.44142788075111716,1.1377195221305443,0.6962916413794271,0.4629611812563334,0.9435191788129262,0.0,0.0
SERPINA3,Gain,CGGA,0.29373907922569287,0.7720783477785657,0.4783392685528728,0.13420351464963165,0.8441268482090623,0.012,0.029217391304347827
LCN2,Gain,TCGA,-0.014523734820301022,0.26288574568398804,0.27740948050428904,0.0422148376051114,0.6142607435829436,0.024,0.030545454545454546
LCN2,Gain,CGGA,0.11704515552983968,0.22442398644016043,0.10737883091032074,-0.22707214826126873,0.4173930759011558,0.536,0.6386382978723405
PECAM1,Gain,TCGA,0.5335466245077901,1.2074793037291367,0.6739326792213466,0.40315854292678555,0.9521417903525345,0.0,0.0
PECAM1,Gain,CGGA,,,,,,,1.0
VWF,Gain,TCGA,0.5997571846580806,1.1661041303722472,0.5663469457141667,0.2915668496562792,0.8395567588379896,0.0,0.0
