"sample_id","Endfoot_Organization","Homeostatic_Astrocytes","Reactive_Astrocytes","BBB_Specialization","Endothelial_Angiogenesis","Basement_Membrane","ECM_Remodeling","Neuroinflammation"
"CGGA_1305",-0.264612948182254,-0.340179541835383,-0.207700199632757,-0.678833256077404,-0.723559937243246,-0.249618121664496,-0.303104214789551,0.332540063350678
"CGGA_1309",-0.951638395936122,-0.559711946822726,-0.417540857553238,-0.560633563288263,-0.575704905922401,-0.418846169817323,-0.356407876792418,-0.490815045619664
"CGGA_1311",-0.490021972650211,-0.317147420098796,-0.52789271303338,0.230354559766489,-0.138541115581542,-0.522882483793322,-0.192133677445262,-0.587091944484352
"CGGA_1317",-0.822086544605362,-0.64689028029288,-0.734884634942949,-0.935248965425758,-0.780703821956294,-0.660402888771138,-0.349114209616272,-0.688108053418368
"CGGA_1318",0.117905018896532,-0.238936209793579,-0.0594663089006576,-0.100982242220136,-0.425981688622558,-0.171452133416295,-0.242762841203523,0.362743005736814
"CGGA_1319",-0.46358421111442,-0.212502988438277,-0.439502160540101,-0.529268690805962,-0.708798580066585,-0.224454097721281,-0.280363917937231,-0.228689310186455
"CGGA_1321",-0.448761596438404,-0.324667798749547,-0.495796022996278,0.526430142533486,-0.503589886751586,-0.222288178793404,-0.192487837215345,-0.294249508403277
"CGGA_1325",-0.793461764307831,-0.904946674003476,-0.50677090747571,-0.68183266809714,0.0587691839269305,0.263537127273211,-0.218409800810518,-0.481899068028924
"CGGA_1326",0.0897874701793626,0.330981085201767,0.256705174898786,0.313798507390526,-0.0858223670952526,0.212745752449443,0.00913345484501777,0.324740003076026
"CGGA_1334",2.32986888850375,1.75567135097542,1.53120914324981,0.186250205534334,-0.417202797469954,0.275798988020342,-0.358298231853716,-0.10134759839926
"CGGA_1335",-0.201231681357137,0.00639073333079225,-0.34703225741772,-0.344126981524673,-0.481402205356945,-0.563263247119832,-0.308374351523005,-0.247181321753742
"CGGA_1337",0.0060040628023442,-0.131059336189772,-0.0194523651091969,0.00072302765748593,0.0180046382261819,-0.398520763351933,-0.420427156997276,-0.201605210902043
"CGGA_1339",0.226243359661274,0.339662151578979,-0.151186153000636,0.217701719615275,-0.321676754398263,-0.524826557027938,-0.153824459681641,-0.506969339432966
"CGGA_1345",-0.0910486612970986,0.509025381645324,0.55156076463703,0.81220275447612,-0.368923607253275,-0.335460226877073,-0.333988978105925,1.12271300842763
"CGGA_135",0.178837264590696,-0.0417136940518978,0.108593676048972,0.136612170588829,2.52675512179452,2.2504856751436,1.43156447901587,1.67858229896149
